geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
															'RPSA'	0.691	0.48	'PINK1'	0.58	1653311	726397	5062
															'NDUFA3'	0.691	0.614	'ERH'	0.58	1742383	886092	4930
															'ANKRD9'	0.691	0.33	'PTBP1'	0.57	1736263	743365	3156
															'DDR1'	0.69	0.383	'RPS12'	0.57	1964755	1120630	5214
															'RPS23'	0.69	0.556	'CARM1'	0.57	983034	477079	4174
															'GIPC1'	0.69	0.488	'LRCH4'	0.57	1839248	1108238	5406
															'GAS6'	0.69	0.135	'ACTN4'	0.57	2068733	1104389	4911
															'LAMTOR1'	0.689	0.543	'ECI1'	0.57	1478401	935035	3332
															'SHISA5'	0.689	0.48	'CDK5R2'	0.57	1281625	652250	3983
															'ANXA11'	0.689	0.4	'LDOC1'	0.57	1649765	617383	5375
															'TP53I13'	0.689	0.544	'MYH14'	0.57	787949	3355	1382
															'SRRM2'	0.688	0.537	'HCFC1R1'	0.57	580436	231332	3121
															'RBPMS'	0.688	0.278	'HNRNPUL1'	0.57	938564	387362	5236
															'FIS1'	0.687	0.57	'LOC440311'	0.57	1764889	697491	4713
															'CCDC24'	0.687	0.407	'FIS1'	0.57	1577763	636906	5564
															'ERGIC1'	0.687	0.424	'RPS20'	0.57	2034382	1054899	2767
															'TCIRG1'	0.687	0.323	'FLJ22184'	0.57	334145	179914	4167
															'MMP14'	0.686	0.168	'G6PD'	0.57	1832327	738981	5229
															'RAB11FIP5'	0.686	0.373	'ANXA6'	0.57	1669879	823179	4915
															'RABEP2'	0.686	0.361	'TCEB2'	0.57	1963620	714534	5629
															'TINAGL1'	0.685	0.133	'ZSCAN18'	0.57	312042	157475	3692
															'GGA1'	0.685	0.47	'C1orf122'	0.57	1651639	821866	2867
															'BRD4'	0.685	0.475	'LRP10'	0.57	294560	157719	4292
															'HLA-H'	0.684	0.276	'ATXN2L'	0.57	2552097	1132928	4445
															'MOB2'	0.684	0.484	'KLC2'	0.57	1120459	633557	2591
															'GTF2IP1.uid_9260'	0.683	0.459	'JUP'	0.57	1933021	1436973	3520
															'CHPF2'	0.683	0.538	'PNRC1'	0.57	991884	652087	4590
															'CLN6'	0.683	0.431	'IL17RC'	0.57	1333671	599554	2842
															'PINK1'	0.683	0.576	'TLN1'	0.56	1264629	725733	5675
															'NAA60'	0.682	0.528	'SCAND1'	0.56	1708830	920887	5135
															'PPP1R13L'	0.682	0.389	'SLC25A29'	0.56	2367773	1072954	2530
															'ANKRD52'	0.681	0.449	'NSMF'	0.56	1214400	530453	3518
															'TSPO'	0.681	0.124	'MED25'	0.56	1528646	788905	4576
															'CLTB'	0.68	0.551	'PIK3R2'	0.56	1008290	486821	5020
															'NOXA1'	0.68	0.371	'EMD'	0.56	2075555	1066788	2710
															'TMEM132A'	0.679	0.37	'TLE2'	0.56	1924311	801424	5018
															'RPL3'	0.678	0.512	'INO80E'	0.56	2010905	982744	4778
															'CARD10'	0.677	0.25	'VAT1'	0.56	2039563	809465	5662
															'PDAP1'	0.677	0.603	'HDGFRP2'	0.56	1313897	692113	2999
															'NPDC1'	0.676	0.613	'ACAP3'	0.56	1167819	552657	4327
															'TMEM175'	0.676	0.536	'POLR2L'	0.56	1003819	393344	5640
															'DNM2'	0.676	0.524	'CNOT3'	0.56	1552986	994956	2683
															'ECI1'	0.676	0.573	'RPS23'	0.56	2811618	1876661	3382
															'ARRDC1'	0.675	0.452	'NME2.uid_22041'	0.55	627505	288566	3567
															'TBC1D17'	0.675	0.58	'LPPR2'	0.55	1273648	625737	4919
															'UCKL1'	0.674	0.45	'TMEM129'	0.55	2265447	1024212	5601
															'MPG'	0.674	0.47	'CUEDC1'	0.55	652182	391676	3869
															'SCAP'	0.674	0.422	'DRAP1'	0.55	2742833	1618334	4541
															'FRMD8'	0.673	0.36	'PFKL'	0.55	1111400	585786	3646
															'AP2S1'	0.673	0.497	'RPS3'	0.55	1962921	846027	5798
															'TPCN1'	0.672	0.461	'ARL8A'	0.55	3062469	1696356	5983
															'PCBP1'	0.672	0.487	'CDIP1'	0.55	2650577	1636963	4795
															'LEMD2'	0.672	0.588	'RABAC1'	0.55	2462727	1271570	5629
															'SLC9A1'	0.671	0.323	'CLTB'	0.55	875974	411963	4288
