geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
																		'KRT18'	0.18			
																		'LINC01184'	0.18			
																		'WDR12'	0.18			
																		'SEC14L1'	0.18			
																		'RIC8B'	0.18			
																		'HIST3H2A'	0.18			
																		'RPA1'	0.18			
																		'SDR42E1'	0.18			
																		'FUT2'	0.18			
																		'NRTN'	0.18			
																		'COX11'	0.18			
																		'ZFHX2'	0.18			
																		'RILP'	0.18			
																		'TMEM19'	0.18			
																		'KIAA1841'	0.18			
																		'LAMB2'	0.18			
																		'GPR135'	0.18			
																		'IER5'	0.18			
																		'DFFB'	0.18			
																		'P4HA1'	0.18			
																		'CKAP5'	0.18			
																		'LIPG'	0.18			
																		'CEP97'	0.18			
																		'USP49'	0.18			
																		'VIM-AS1'	0.18			
																		'OFD1'	0.18			
																		'DDAH1'	0.18			
																		'C22orf42'	0.18			
																		'FAM86C2P'	0.18			
																		'NRM'	0.18			
																		'PTOV1-AS1'	0.18			
																		'ZNF823'	0.18			
																		'EFCC1'	0.18			
																		'MAL2'	0.18			
																		'KRAS'	0.18			
																		'ZDHHC6'	0.18			
																		'CSTF3'	0.18			
																		'METTL20'	0.18			
																		'GNB4'	0.18			
																		'MRPL45'	0.18			
																		'GFM1'	0.18			
																		'SMURF2'	0.18			
																		'ACTC1'	0.18			
																		'PIAS2'	0.18			
																		'G0S2'	0.18			
																		'ZNF786'	0.18			
																		'RAB11B-AS1'	0.18			
																		'C3orf67'	0.18			
																		'UBE3D'	0.18			
																		'CPEB2'	0.18			
																		'PRR3'	0.18			
																		'PRICKLE4'	0.18			
																		'RER1'	0.18			
																		'LACTB2'	0.18			
																		'VRK3'	0.18			
																		'FAM115A'	0.18			
																		'FAM49B'	0.18			
																		'SPRN'	0.18			
																		'PPAP2A'	0.18			
																		'EML5'	0.18			
																		'EVC'	0.18			
																		'PDE10A'	0.18			
																		'C2CD2'	0.18			
																		'FSTL5'	0.18			
																		'SCARF2'	0.18			
																		'UPP1'	0.18			
																		'SMAD2'	0.18			
																		'ALMS1'	0.18			
																		'EPHA10'	0.17			
																		'C17orf67'	0.17			
																		'PAPD5'	0.17			
																		'PRUNE2'	0.17			
																		'IFT74'	0.17			
																		'LINC01431'	0.17			
																		'SIDT1'	0.17			
																		'ALG13'	0.17			
																		'ZNF548'	0.17			
																		'TOMM22'	0.17			
																		'ELP6'	0.17			
																		'TPM4'	0.17			
																		'DPP4'	0.17			
																		'ELOVL7'	0.17			
																		'ZNF582-AS1'	0.17			
																		'TIGD2'	0.17			
																		'LOXL3'	0.17			
																		'ABT1'	0.17			
																		'THUMPD2'	0.17			
																		'THAP10'	0.17			
																		'RENBP'	0.17			
																		'WSCD1'	0.17			
																		'ANGEL2'	0.17			
																		'DPCD'	0.17			
																		'RAE1'	0.17			
																		'GLTSCR1L'	0.17			
																		'TTC9C'	0.17			
																		'LAP3'	0.17			
																		'AUTS2'	0.17			
																		'STON2'	0.17			
																		'LINC00087'	0.17			
																		'CDT1'	0.17			
																		'WDR25'	0.17			
																		'ZCCHC2'	0.17			
																		'COX10-AS1'	0.17			
																		'C2orf15'	0.17			
																		'BAZ1A'	0.17			
																		'NCOA2'	0.17			
																		'ZNF141'	0.17			
																		'DAPL1'	0.17			
																		'KCNA3'	0.17			
																		'TM9SF1'	0.17			
																		'SLC7A6'	0.17			
																		'APC2'	0.17			
																		'TSHZ3'	0.17			
																		'CD74'	0.17			
																		'VSIG10'	0.17			
																		'STAU2'	0.17			
																		'GBAP1'	0.17			
																		'ZMAT1'	0.17			
																		'CEP120'	0.17			
																		'C8orf76'	0.17			
																		'ARMCX1'	0.17			
																		'VPS45'	0.17			
																		'ZNF619'	0.17			
																		'CTPS1'	0.17			
																		'ASRGL1'	0.17			
																		'MBNL1'	0.17			
																		'C5orf56'	0.17			
																		'HARBI1'	0.17			
																		'CEPT1'	0.17			
																		'ZNF805'	0.17			
																		'PHF11'	0.17			
																		'CCDC115'	0.17			
																		'HKR1'	0.17			
																		'POLR3F'	0.17			
																		'ZNF883'	0.17			
																		'HIPK1'	0.17			
																		'DNAJC17'	0.17			
																		'PPP1R3B'	0.17			
																		'DOCK1'	0.17			
																		'RAC2'	0.17			
																		'GCGR'	0.17			
																		'FAM171A1'	0.17			
																		'DHRS4'	0.17			
																		'TFCP2L1'	0.17			
																		'LOC101929767'	0.17			
																		'ZDHHC17'	0.17			
																		'MARS2'	0.17			
																		'NSMCE1'	0.17			
																		'GLB1L'	0.17			
																		'C12orf76'	0.17			
																		'PTPRH'	0.17			
																		'LCN12'	0.17			
																		'DDHD2'	0.17			
																		'PRKCQ-AS1'	0.17			
																		'ANAPC10'	0.17			
																		'HMGB3'	0.17			
																		'ANO7'	0.17			
																		'DROSHA'	0.17			
																		'DUOX1'	0.17			
																		'TMOD1'	0.17			
																		'LTB4R'	0.17			
																		'LOC151174'	0.17			
																		'ZBED5-AS1'	0.17			
																		'CPSF3'	0.17			
																		'BHLHB9'	0.17			
																		'VCPKMT'	0.17			
																		'FLJ23867'	0.17			
																		'ARHGDIG'	0.17			
																		'CCDC71L'	0.17			
																		'COG5'	0.17			
																		'TTI2'	0.17			
																		'ZNF558'	0.17			
																		'SYNJ1'	0.17			
																		'FUBP3'	0.17			
																		'RAB19'	0.17			
																		'CCDC176'	0.17			
																		'SLC22A23'	0.17			
																		'NECAP1'	0.17			
																		'SGMS1'	0.17			
																		'TCTN3'	0.17			
																		'PRDM15'	0.17			
																		'GARNL3'	0.17			
																		'TSTD1'	0.17			
																		'THEMIS2'	0.17			
																		'DCLRE1C'	0.17			
																		'RNF170'	0.17			
																		'B3GAT1'	0.17			
																		'RPLP0P2'	0.17			
																		'CDKN2A'	0.17			
																		'PTRHD1'	0.17			
																		'UFL1'	0.17			
																		'CBY1'	0.17			
																		'LPIN1'	0.17			
																		'GCA'	0.17			
																		'TRMT61B'	0.17			
																		'ATP11B'	0.17			
																		'MIR4787'	0.17			
																		'PACRG'	0.17			
																		'GPRASP1'	0.17			
																		'SAP25'	0.17			
																		'EFNA3'	0.17			
																		'LOC101929743'	0.17			
																		'IQCD'	0.17			
																		'MDM1'	0.17			
																		'EID2B'	0.17			
																		'ZNF439'	0.17			
																		'FPGT'	0.17			
																		'RPL23AP82'	0.17			
																		'ENO4'	0.17			
																		'EOGT'	0.17			
																		'LCORL'	0.17			
																		'LINC01057'	0.17			
																		'C20orf26'	0.17			
																		'UBE2L6'	0.17			
																		'GNS'	0.17			
																		'SCO2.uid_26107'	0.17			
																		'KIAA1324L'	0.17			
																		'SETMAR'	0.17			
																		'FXYD3'	0.17			
																		'TSEN2'	0.17			
																		'APOO'	0.17			
																		'GJD2'	0.17			
																		'PRKACB'	0.17			
																		'TSGA10'	0.17			
																		'SQSTM1'	0.17			
																		'WDR65'	0.17			
																		'DNAJA2'	0.17			
																		'SLC4A10'	0.17			
																		'ZNF518A'	0.17			
																		'NINJ1'	0.17			
																		'PRIM1'	0.17			
																		'ESF1'	0.17			
																		'SS18'	0.17			
																		'SLC50A1'	0.17			
																		'ACVR1B'	0.17			
																		'STS'	0.17			
																		'VPS53'	0.17			
																		'LOC283177'	0.17			
																		'CEP112'	0.17			
																		'CTTNBP2'	0.17			
																		'CPOX'	0.17			
																		'TBCA'	0.17			
																		'CHCHD3'	0.17			
																		'SPIN1'	0.17			
																		'FRMD4B'	0.17			
																		'MMP16'	0.17			
																		'N4BP2'	0.17			
																		'CEP162'	0.17			
																		'TAF8'	0.17			
																		'MYH11'	0.17			
																		'ATP6AP1'	0.17			
																		'FAM120A'	0.17			
																		'MORN2'	0.17			
																		'GPATCH4'	0.17			
																		'LINC00663'	0.17			
																		'ZNF385A'	0.17			
																		'RARRES1'	0.17			
																		'ZNF81'	0.17			
																		'UTP3'	0.17			
																		'TADA1'	0.17			
																		'NUBP1'	0.17			
																		'HSD17B7P2'	0.17			
																		'SCRT2'	0.17			
																		'SLC8B1'	0.17			
																		'CSPP1'	0.17			
																		'ZNF691'	0.17			
																		'PCDHA5'	0.17			
																		'TTC39B'	0.17			
																		'PRKAA2'	0.17			
																		'SFXN5'	0.17			
																		'STRADB'	0.17			
																		'CERS6'	0.17			
																		'PRR5'	0.17			
																		'GOT1'	0.17			
																		'LAMC1'	0.17			
																		'FMNL2'	0.17			
																		'METTL25'	0.17			
																		'UBR2'	0.17			
																		'GUF1'	0.17			
																		'XBP1'	0.17			
																		'NCRNA00185'	0.17			
																		'OSBPL1A'	0.17			
																		'AMACR'	0.17			
																		'FASTKD1'	0.17			
																		'FBXO36'	0.17			
																		'RRN3P3'	0.17			
																		'HARS'	0.17			
																		'LOC101926996'	0.17			
																		'SERPINH1'	0.17			
																		'YOD1'	0.17			
																		'AMIGO3'	0.17			
																		'BMP2'	0.17			
																		'TRIP12'	0.17			
																		'ECHDC2'	0.17			
																		'IPPK'	0.17			
																		'MEX3C'	0.17			
																		'TTTY15'	0.17			
																		'CSRNP3'	0.17			
																		'IER5L'	0.17			
																		'SRSF12'	0.17			
																		'ZNF740'	0.17			
																		'RTEL1'	0.17			
																		'NOL9'	0.17			
																		'MICALL1'	0.17			
																		'RPE'	0.17			
																		'GOLGA5'	0.17			
																		'SEMA3E'	0.17			
																		'PDE6D'	0.17			
																		'TSTD2'	0.17			
																		'LTV1'	0.17			
																		'CCDC77'	0.17			
																		'CRYL1'	0.17			
																		'LINC00336'	0.17			
																		'SOCS6'	0.17			
																		'CEBPZOS'	0.17			
																		'HDAC9'	0.17			
																		'NUP50-AS1'	0.17			
																		'CCND2'	0.17			
																		'MRPS22'	0.17			
																		'LRRTM2'	0.17			
																		'WDR59'	0.17			
																		'PHOSPHO2'	0.17			
																		'C1orf229'	0.17			
																		'EXOC3L1'	0.17			
																		'ZCCHC7'	0.17			
																		'LOC100270804'	0.17			
																		'KLHL28'	0.17			
																		'TMPO-AS1'	0.17			
																		'IKZF5'	0.17			
																		'PLEKHM3'	0.17			
																		'RLIM'	0.17			
																		'MGA'	0.17			
																		'SPINK2'	0.17			
																		'ZNF226'	0.17			
																		'GDPD1'	0.17			
																		'BCDIN3D'	0.17			
																		'NDUFAF4'	0.17			
																		'ATPAF2'	0.17			
																		'DHRS4L2'	0.17			
																		'CCDC66'	0.17			
																		'FOXO3'	0.17			
																		'ZNF426'	0.17			
																		'TDRD9'	0.17			
																		'TAS2R20'	0.17			
																		'NPAS3'	0.17			
																		'GUSBP1'	0.17			
																		'NDUFS3'	0.17			
																		'POP4'	0.17			
																		'CFD'	0.17			
																		'TRMT2B'	0.17			
																		'CLMN'	0.17			
																		'ZCWPW1'	0.17			
																		'ZNF677'	0.17			
																		'ZNHIT3'	0.17			
																		'JPH3'	0.17			
																		'NT5DC1'	0.17			
																		'FAIM'	0.17			
																		'RECQL4'	0.17			
																		'PTPN11'	0.17			
																		'ZDHHC15'	0.17			
																		'TRAM2'	0.17			
																		'OPN3'	0.17			
																		'DCUN1D2'	0.17			
																		'ZNF546'	0.17			
																		'GDPD5'	0.17			
																		'FAM111A'	0.17			
																		'MMP14'	0.17			
																		'DNAJC19'	0.17			
																		'THAP6'	0.17			
																		'GSTP1'	0.17			
																		'UTP14A'	0.17			
																		'ABCC6'	0.17			
																		'TMEM255A'	0.17			
																		'ZNF217'	0.17			
																		'UTP18'	0.17			
																		'ANKRD18A'	0.17			
																		'CSNK2A3'	0.17			
																		'WHAMMP2'	0.17			
																		'DNAJC28'	0.17			
																		'CNTLN'	0.17			
																		'CHD4'	0.17			
																		'PKP4'	0.17			
																		'KCNB1'	0.17			
																		'OPA1'	0.17			
																		'CDAN1'	0.17			
																		'FKBP5'	0.17			
																		'MAP4K2'	0.17			
																		'EIF1B-AS1'	0.17			
																		'ODF3B'	0.17			
																		'HSD17B8'	0.17			
																		'NAPSA'	0.17			
																		'NRXN1'	0.17			
																		'DSG2'	0.17			
																		'RSPH9'	0.17			
																		'APBA1'	0.17			
																		'MARCH1'	0.17			
																		'AKNA'	0.17			
																		'PMS2P4'	0.17			
																		'FAM83B'	0.17			
																		'STAMBPL1'	0.17			
																		'TFB2M'	0.17			
																		'OSTM1'	0.17			
																		'CELF5'	0.17			
																		'ADARB1'	0.17			
																		'PANO'	0.17			
																		'RRAGD'	0.17			
																		'KLHL7'	0.17			
																		'ETV1'	0.17			
																		'MPHOSPH10'	0.17			
																		'MYO15A'	0.17			
																		'PEG10'	0.17			
																		'TMEM171'	0.17			
																		'SRP72'	0.17			
																		'BANF1'	0.17			
																		'PHF21B'	0.17			
																		'C6orf147'	0.17			
																		'TET2'	0.17			
																		'TBC1D4'	0.17			
																		'OTUB2'	0.17			
																		'AKAP11'	0.17			
																		'ZNF720'	0.17			
																		'PWARSN'	0.17			
																		'ZNF891'	0.17			
																		'LOC100506123'	0.17			
																		'LOC103344931'	0.17			
																		'LOC101927100'	0.17			
																		'FBXO15'	0.17			
																		'PLD2'	0.17			
																		'SLC11A1'	0.17			
																		'DENND4A'	0.17			
																		'ICAM1'	0.17			
																		'CLOCK'	0.17			
																		'ZNF26.uid_17526'	0.17			
																		'SNAPC1'	0.17			
																		'FXR1'	0.17			
																		'VIMP'	0.17			
																		'B3GALT5'	0.17			
																		'FBXL19'	0.17			
																		'MBD4'	0.17			
																		'EVI5'	0.17			
																		'MROH7'	0.17			
																		'MIS18BP1'	0.17			
																		'ZBED5'	0.17			
																		'NIFK'	0.17			
																		'SCARNA17'	0.17			
																		'MGC12916'	0.17			
																		'ZNF24'	0.17			
																		'ZC3HC1'	0.17			
																		'GMCL1'	0.17			
																		'ANO6'	0.17			
																		'CLTCL1'	0.17			
																		'PLEKHF2'	0.17			
																		'TIGD3'	0.17			
																		'PRMT3'	0.17			
																		'AURKC'	0.17			
																		'ASPHD2'	0.17			
																		'TIMM10B'	0.17			
																		'KDELC2'	0.17			
																		'KPNA5'	0.17			
																		'FAM135A'	0.17			
																		'HOPX'	0.17			
																		'EIF2B4'	0.17			
																		'AQP11'	0.17			
																		'RABL2B'	0.17			
																		'TMEM55A'	0.17			
																		'CYP51A1-AS1'	0.17			
																		'NOSIP'	0.17			
																		'FMNL1'	0.17			
																		'SMYD3'	0.17			
																		'UBE2K'	0.17			
																		'HMGCR'	0.17			
																		'RFESD'	0.17			
																		'PLCB4'	0.17			
																		'LOC102724467'	0.17			
																		'ERCC4'	0.17			
																		'GRM7'	0.17			
																		'SERINC4'	0.17			
																		'ZNF470'	0.17			
																		'STK3'	0.17			
																		'AFF1'	0.17			
																		'OLIG1'	0.17			
																		'ARHGEF37'	0.17			
																		'SLC5A10'	0.17			
																		'DMXL2'	0.17			
																		'ZNF302'	0.17			
																		'PLOD2'	0.17			
																		'TBPL1'	0.17			
																		'CIRH1A'	0.17			
																		'GALNT1'	0.17			
																		'IGSF22'	0.17			
																		'ZNF671'	0.17			
																		'ANKMY2'	0.17			
																		'SUPT7L'	0.17			
																		'LYSMD3'	0.17			
																		'LOC391322'	0.17			
																		'USP46'	0.17			
																		'ALDH7A1'	0.17			
																		'CAMKK2'	0.17			
																		'CAPN3'	0.17			
																		'PAQR3'	0.17			
																		'APTR'	0.17			
																		'CTF1'	0.17			
																		'TONSL'	0.17			
																		'TUBA3FP'	0.17			
																		'NYAP2'	0.17			
																		'ZNF540'	0.17			
																		'SPRTN'	0.17			
																		'ALDH16A1'	0.17			
																		'ITPR1-AS1'	0.17			
																		'SYK'	0.17			
																		'WDFY3'	0.17			
																		'RNF180'	0.17			
																		'PSEN1'	0.17			
																		'SPAG5'	0.17			
																		'KIAA1549'	0.17			
																		'CIART'	0.17			
																		'L3HYPDH'	0.17			
																		'POLR1E'	0.17			
																		'LRFN4'	0.17			
																		'FAM229A'	0.17			
																		'LAMTOR2'	0.17			
																		'RMRP'	0.16			
																		'LIMA1'	0.16			
																		'PSMB8-AS1'	0.16			
																		'RAP2C-AS1'	0.16			
																		'CFDP1'	0.16			
																		'SLC35D1'	0.16			
																		'UBR5'	0.16			
																		'SLC26A6'	0.16			
																		'DHTKD1'	0.16			
																		'SYCE3'	0.16			
																		'BEND3'	0.16			
																		'HEATR1'	0.16			
																		'EML1'	0.16			
																		'ZBTB42'	0.16			
																		'ZNF780A'	0.16			
																		'LINC01137'	0.16			
																		'ADAM23'	0.16			
																		'UHRF1BP1L'	0.16			
																		'DCLRE1B'	0.16			
																		'TDRD6'	0.16			
																		'CDK19'	0.16			
																		'PACSIN3'	0.16			
																		'ABAT'	0.16			
																		'SLC25A4'	0.16			
																		'ING1'	0.16			
																		'PPP1R21'	0.16			
																		'LOC643072'	0.16			
																		'AMN1'	0.16			
																		'NR2C1'	0.16			
																		'UBL7-AS1'	0.16			
																		'STX7'	0.16			
																		'ARMC9'	0.16			
																		'HELQ'	0.16			
																		'EMILIN2'	0.16			
																		'SEC31B'	0.16			
																		'SNRNP25'	0.16			
																		'NAT1'	0.16			
																		'ABHD5'	0.16			
																		'ECT2'	0.16			
																		'PLCD3'	0.16			
																		'FAM114A1'	0.16			
																		'CTDSPL'	0.16			
																		'ENO2'	0.16			
																		'USP6NL'	0.16			
																		'USP37'	0.16			
																		'PHLPP2'	0.16			
																		'KDM6A'	0.16			
																		'HMGCLL1'	0.16			
																		'MTL5'	0.16			
																		'ZNF611'	0.16			
																		'PYY'	0.16			
																		'CROCCP3'	0.16			
																		'SBF1P1'	0.16			
																		'SLC9A3'	0.16			
																		'EHD4'	0.16			
																		'TMEM11'	0.16			
																		'PXDC1'	0.16			
																		'TBC1D19'	0.16			
																		'HCG4'	0.16			
																		'FAM104A'	0.16			
																		'WDR75'	0.16			
																		'DIXDC1'	0.16			
																		'LPGAT1'	0.16			
																		'ZNF793'	0.16			
																		'LINC00473'	0.16			
																		'PTGER1'	0.16			
																		'GOLGA8A'	0.16			
																		'C16orf46'	0.16			
																		'EMILIN1'	0.16			
																		'LOC728752'	0.16			
																		'ZNF449'	0.16			
																		'PIK3C3'	0.16			
																		'NDUFAF6'	0.16			
																		'MAN2A1'	0.16			
																		'LOC284454'	0.16			
																		'PTGES2-AS1'	0.16			
																		'SNAPC5'	0.16			
																		'E2F5'	0.16			
																		'TBX6'	0.16			
																		'OSER1'	0.16			
																		'TRNT1'	0.16			
																		'RAB3IL1'	0.16			
																		'SAAL1'	0.16			
																		'ANKRD24'	0.16			
																		'ZBTB26'	0.16			
																		'ZPR1'	0.16			
																		'MBTD1'	0.16			
																		'AGA'	0.16			
																		'CCDC34'	0.16			
																		'CD97'	0.16			
																		'PDIA5'	0.16			
																		'SPG20'	0.16			
																		'LOC554206'	0.16			
																		'SNORD46'	0.16			
																		'PLCH2'	0.16			
																		'FGF12'	0.16			
																		'WWP1'	0.16			
																		'NEIL2'	0.16			
																		'MGEA5'	0.16			
																		'FBP1'	0.16			
																		'SEPSECS-AS1'	0.16			
																		'PEX11A'	0.16			
																		'C16orf72'	0.16			
																		'IVNS1ABP'	0.16			
																		'MRPL20'	0.16			
																		'CCDC134'	0.16			
																		'ELOVL5'	0.16			
																		'RPP40'	0.16			
																		'GBGT1'	0.16			
																		'ACVR2A'	0.16			
																		'GOLGA2P5'	0.16			
																		'MBL1P'	0.16			
																		'FRA10AC1'	0.16			
																		'FNDC3B'	0.16			
																		'FUT1'	0.16			
																		'FAM86B3P'	0.16			
																		'RND2'	0.16			
																		'RCBTB2'	0.16			
																		'DYNC2LI1'	0.16			
																		'MUC1'	0.16			
																		'MARCH5'	0.16			
																		'ZSCAN22'	0.16			
																		'JHDM1D-AS1'	0.16			
																		'SSTR2'	0.16			
																		'AIFM1'	0.16			
																		'ZNF564'	0.16			
																		'PRLR'	0.16			
																		'TRANK1'	0.16			
																		'KCTD6'	0.16			
																		'HAUS7'	0.16			
																		'TTLL4'	0.16			
																		'SNTG1'	0.16			
																		'KIAA1147'	0.16			
																		'MIPEP'	0.16			
																		'BHMT2'	0.16			
																		'LOC100132356'	0.16			
																		'LPPR4'	0.16			
																		'TFCP2'	0.16			
																		'FAM95C'	0.16			
																		'TEAD3'	0.16			
																		'ELOVL1'	0.16			
																		'ZNF596'	0.16			
																		'DCLRE1A'	0.16			
																		'LRRC75A'	0.16			
																		'SNHG20'	0.16			
																		'CDKN2B-AS1'	0.16			
																		'ISCA1'	0.16			
																		'SLC35E4'	0.16			
																		'NNMT'	0.16			
																		'PIH1D1'	0.16			
																		'SLC25A27'	0.16			
																		'CDPF1'	0.16			
																		'AQR'	0.16			
																		'CSRP2BP'	0.16			
																		'SUCLG2'	0.16			
																		'MED17'	0.16			
																		'CCDC112'	0.16			
																		'HEXA'	0.16			
																		'MROH8'	0.16			
																		'LMBRD2'	0.16			
																		'NAA16'	0.16			
																		'CCNG2'	0.16			
																		'DHX58'	0.16			
																		'ZFAND1'	0.16			
																		'MRPL2'	0.16			
																		'CASC2'	0.16			
																		'CCDC7'	0.16			
																		'ZBTB21'	0.16			
																		'MLH1'	0.16			
																		'KANK3'	0.16			
																		'DHDH'	0.16			
																		'CYB5R4'	0.16			
																		'ATP6V0D1'	0.16			
																		'FAM173B'	0.16			
																		'FAM66B'	0.16			
																		'CHIC1'	0.16			
																		'IBA57'	0.16			
																		'C12orf4'	0.16			
																		'C11orf1'	0.16			
																		'MAPRE2'	0.16			
																		'SALL1'	0.16			
																		'PTBP3'	0.16			
																		'DUS2'	0.16			
																		'RPP30'	0.16			
																		'C4orf46'	0.16			
																		'SSBP3'	0.16			
																		'NME2.uid_22045'	0.16			
																		'POLG2'	0.16			
																		'ZC3H13'	0.16			
																		'POLA2'	0.16			
																		'SPC25'	0.16			
																		'AASDH'	0.16			
																		'MIR6891.uid_8405'	0.16			
																		'TMCC1'	0.16			
																		'RSRC1'	0.16			
																		'SERPINA10'	0.16			
																		'POLR2J'	0.16			
																		'FLJ30403'	0.16			
																		'CDC42EP3'	0.16			
																		'SNRK'	0.16			
																		'DKC1'	0.16			
																		'LARP4'	0.16			
																		'WDR26'	0.16			
																		'MLLT11'	0.16			
																		'STRBP'	0.16			
																		'GIT2'	0.16			
																		'ZNF280B'	0.16			
																		'RNGTT'	0.16			
																		'H6PD'	0.16			
																		'KIAA1468'	0.16			
																		'TM2D2'	0.16			
																		'TBRG1'	0.16			
																		'GNB1L'	0.16			
																		'GEMIN6'	0.16			
																		'KBTBD2'	0.16			
																		'PLEKHG4'	0.16			
																		'ZNF320'	0.16			
																		'PUS10'	0.16			
																		'SPATA6'	0.16			
																		'LOC729218'	0.16			
																		'SS18L2'	0.16			
																		'SLC36A4'	0.16			
																		'NAV1'	0.16			
																		'AGL'	0.16			
																		'MRPL40'	0.16			
																		'RAB3C'	0.16			
																		'NHS'	0.16			
																		'HEXIM1'	0.16			
																		'HOGA1'	0.16			
																		'RASA1'	0.16			
																		'LINC01146'	0.16			
																		'TCEB3-AS1'	0.16			
																		'F10'	0.16			
																		'ZNF154'	0.16			
																		'GAN'	0.16			
																		'ZBED3-AS1'	0.16			
																		'ZNF334'	0.16			
																		'NUCB1-AS1'	0.16			
																		'ARRDC3-AS1'	0.16			
																		'NPW'	0.16			
																		'IGFLR1'	0.16			
																		'LOC100129973'	0.16			
																		'SYNGR4'	0.16			
																		'POU6F1'	0.16			
																		'HYLS1'	0.16			
																		'FOXN2'	0.16			
																		'MPP1'	0.16			
																		'KRCC1'	0.16			
																		'LOC101929302'	0.16			
																		'CDKAL1'	0.16			
																		'SCLY'	0.16			
																		'UFSP1'	0.16			
																		'BTBD17'	0.16			
																		'NRDE2'	0.16			
																		'VANGL1'	0.16			
																		'CRNKL1'	0.16			
																		'LETM2'	0.16			
																		'MAD2L1BP'	0.16			
																		'EIF1B'	0.16			
																		'TRIM66'	0.16			
																		'ALG2'	0.16			
																		'PPAT'	0.16			
																		'GXYLT1'	0.16			
																		'ZNF607'	0.16			
																		'PICALM'	0.16			
																		'ZMYM5'	0.16			
																		'SAPCD2'	0.16			
																		'SPRY4'	0.16			
																		'ARHGAP27'	0.16			
																		'ZBTB3'	0.16			
																		'OAS3'	0.16			
																		'PIGF'	0.16			
																		'NANOS1'	0.16			
																		'FOXO4'	0.16			
																		'ZNF79'	0.16			
																		'PYROXD1'	0.16			
																		'LNP1'	0.16			
																		'UBE3A'	0.16			
																		'RAB11FIP2'	0.16			
																		'WDR20'	0.16			
																		'SNUPN'	0.16			
																		'GEN1'	0.16			
																		'APCDD1L-AS1'	0.16			
																		'RAD18'	0.16			
																		'VTI1B'	0.16			
																		'SGTB'	0.16			
																		'PCDHA4'	0.16			
																		'KCNG3'	0.16			
																		'ZNF654'	0.16			
																		'LOC101928736'	0.16			
																		'ACTL10'	0.16			
																		'MYSM1'	0.16			
																		'TBC1D7'	0.16			
																		'ZNF253'	0.16			
																		'ARSE'	0.16			
																		'NRAS'	0.16			
																		'FAM84B'	0.16			
																		'SNORA54'	0.16			
																		'PQLC3'	0.16			
																		'ZNRF2'	0.16			
																		'NDUFAF5'	0.16			
																		'FAM120B'	0.16			
																		'LIME1'	0.16			
																		'RNF215'	0.16			
																		'PRPH'	0.16			
																		'TMEM240'	0.16			
																		'MRPL47'	0.16			
																		'FAM20A'	0.16			
																		'ERCC6'	0.16			
																		'HSPA1A'	0.16			
																		'ZNF205-AS1'	0.16			
																		'SNAPIN'	0.16			
																		'RBM11'	0.16			
																		'BMPR1A'	0.16			
																		'C17orf107'	0.16			
																		'VAV3'	0.16			
																		'INO80D'	0.16			
																		'NEU1'	0.16			
																		'SLC25A40'	0.16			
																		'PRR22'	0.16			
																		'DDX26B'	0.16			
																		'TTC30A'	0.16			
																		'ZNF549'	0.16			
																		'POLA1'	0.16			
																		'CMTM3'	0.16			
																		'SLMO1'	0.16			
																		'LOC100128164'	0.16			
																		'ARHGEF5'	0.16			
																		'GPBAR1'	0.16			
																		'CXXC4'	0.16			
																		'PRKCQ'	0.16			
																		'CCDC141'	0.16			
																		'ANKRD19P'	0.16			
																		'PDK3'	0.16			
																		'ZNF75D'	0.16			
																		'STARD4'	0.16			
																		'DTWD2'	0.16			
																		'PDHX'	0.16			
																		'LOC389247'	0.16			
																		'HSPA4'	0.16			
																		'FBXL17'	0.16			
																		'TAF3'	0.16			
																		'FRAS1'	0.16			
																		'LIN54'	0.16			
																		'SYNDIG1L'	0.16			
																		'ECEL1'	0.16			
																		'SNORD59A'	0.16			
																		'PSMA7'	0.16			
																		'TMEM184C'	0.16			
																		'RWDD1'	0.16			
																		'TRIM23'	0.16			
																		'BACH1'	0.16			
																		'FAM153B'	0.16			
																		'MGLL'	0.16			
																		'NXPH4'	0.16			
																		'SMAD3'	0.16			
																		'MON2'	0.16			
																		'TAF12'	0.16			
																		'ZNF18'	0.16			
																		'EXT1'	0.16			
																		'CGRRF1'	0.16			
																		'HAPLN4'	0.16			
																		'LOC100506299'	0.16			
																		'DDX24'	0.16			
																		'SLC28A2'	0.16			
																		'LOC100287036'	0.16			
																		'SLC27A6'	0.16			
																		'LYAR'	0.16			
																		'FAM66C'	0.16			
																		'ZRANB3'	0.16			
																		'RNF24'	0.16			
																		'NIT2'	0.16			
																		'ZNF573'	0.16			
																		'DHX57'	0.16			
																		'WDR78'	0.16			
																		'CCDC71'	0.16			
																		'ATP6V0A2'	0.16			
																		'NUDT8'	0.16			
																		'GLCCI1'	0.16			
																		'PCDHA9'	0.16			
																		'MEA1'	0.16			
																		'PLEKHG5'	0.16			
																		'EIF4G3'	0.16			
																		'SHPRH'	0.16			
																		'EPPK1'	0.16			
																		'PARP9'	0.16			
																		'OR7E47P'	0.16			
																		'LOC256880'	0.16			
																		'CMSS1'	0.16			
																		'TMEM191B'	0.16			
																		'WDR83'	0.16			
																		'TAF1A-AS1'	0.16			
																		'ZNF675'	0.16			
